"","Name","Edition","City","Country","Owner","Seeker","Trader","Rarity","WillingnessToTrade","Popularity"
"1","Singapore 2 Mini YAH 2016","14 YAH ornaments","Singapore","Singapore",2,7,0,0.0159453302961276,0,0.00182315405651778
"2","Singapore 1 Mini YAH 2016","14 YAH ornaments","Singapore","Singapore",2,6,0,0.0136674259681093,0,0.00182315405651778
"3","Ho Chi Minh City Mini YAH 2016","14 YAH ornaments","Ho Chi Minh","Vietnam",3,6,0,0.0136674259681093,0,0.00273473108477666
"4","Vietnam Mini YAH 2016","14 YAH ornaments","Vietnam","Vietnam",3,5,0,0.0113895216400911,0,0.00273473108477666
"5","Hanoi Mini YAH 2016","14 YAH ornaments","Hanoi","Vietnam",3,6,0,0.0136674259681093,0,0.00273473108477666
"6","Hong Kong Mini YAH 2016","14 YAH ornaments","Hong Kong","China",4,6,0,0.0136674259681093,0,0.00364630811303555
"7","Macau Mini YAH 2016","14 YAH ornaments","Macau","China",4,6,0,0.0136674259681093,0,0.00364630811303555
"8","You Are Here Singapore 2 Water Bottle","City Tumbler","Singapore","Singapore",0,2,0,0.00455580865603645,0,0
"9","You Are Here Singapore Water Bottle","City Tumbler","Singapore","Singapore",0,2,0,0.00455580865603645,0,0
"10","You Are Here in Singapore 2","13 You Are Here Series","Singapore","Singapore",2,22,0,0.0501138952164009,0,0.00182315405651778
"11","You Are Here in Singapore 1","13 You Are Here Series","Various","Singapore",2,22,0,0.0501138952164009,0,0.00182315405651778
"12","2016 Mid Autumn Festival Mug","Limited Edition","Various","Taiwan",0,3,0,0.00683371298405467,0,0
"13","2016 Mid Autumn Festival Purple Relief Mug","Limited Edition","Various","Taiwan",0,3,0,0.00683371298405467,0,0
"14","2016 Mid Autumn Festival Demiset","Limited Edition","Various","Taiwan",0,3,0,0.00683371298405467,0,0
"15","2016 Chinese Valentine's Pink Mug","Limited Edition","Various","Taiwan",0,2,0,0.00455580865603645,0,0
"16","2016 Chinese Valentine's Baby Blue Mug","Limited Edition","Various","Taiwan",0,1,0,0.00227790432801822,0,0
"17","2016 Dragonboat Festival Mug","Limited Edition","Various","Taiwan",2,1,0,0.00227790432801822,0,0.00182315405651778
"18","2016 Coffee Journey Mug","Limited Edition","Various","Taiwan",1,2,0,0.00455580865603645,0,0.000911577028258888
"19","2016 Iceberg Mug","Limited Edition","Various","South Korea",1,3,0,0.00683371298405467,0,0.000911577028258888
"20","2016 Iceberg Demimug","Limited Edition","Various","South Korea",1,2,0,0.00455580865603645,0,0.000911577028258888
"21","2016 17th Anniversary Stainless Steel Tumbler","Limited Edition","Various","South Korea",3,1,0,0.00227790432801822,0,0.00273473108477666
"22","2016 4th Hangeul Korean Scripture Mug","Limited Edition","Various","South Korea",4,1,0,0.00227790432801822,0,0.00364630811303555
"23","Strasbourg YAH","13 You Are Here Series","Strasbourg","France",7,22,0,0.0501138952164009,0,0.00638103919781222
"24","2016 Ginza 20th Years n' Onward Glass Mug","Limited Edition","Tokyo","Japan",3,2,1,0.00227790432801822,0.375,0.00273473108477666
"25","2016 Mid Autumn Mug","Limited Edition","Hong Kong","China",0,3,0,0.00683371298405467,0,0
"26","2016 Mid Autumn Set of 2 Glasses","Limited Edition","Various","Taiwan",0,3,0,0.00683371298405467,0,0
"27","2003 African Continent","Limited Edition","Various","Japan",2,2,0,0.00455580865603645,0,0.00182315405651778
"28","2016 Sunflower Mug","Limited Edition","Various","China",0,3,0,0.00683371298405467,0,0
"29","2003 Zimbabwe Cave Painting","Limited Edition","Various","Japan",1,2,0,0.00455580865603645,0,0.000911577028258888
"30","2016 Summer Rose Mug","Limited Edition","Various","China",0,3,0,0.00683371298405467,0,0
"31","2016 20 years in Ginza Mug","Limited Edition","Tokyo","Japan",3,3,1,0.00341685649202733,0.375,0.00273473108477666
"32","Yinchuan","08 Icon Edition","Yinchuan","China",10,44,1,0.0501138952164009,0.136363636363636,0.00911577028258888
